sampno,hh_vmt_fee_static,hh_total_vmt,hh_income_cat,hh_urbrur,hh_income_group
40336536,0.41280000000000006,20.64,11,2,high
40343229,14.869872,619.578,7,1,mid_low
40343235,58.598784,2441.616,11,1,high
40343349,5.4,270.0,10,1,high
40344441,2.063232,128.952,11,1,high
40344631,59.173140000000004,3413.835,11,1,high
40346294,4.42584,184.41,10,2,high
40346735,1.0862399999999999,54.312,11,1,high
40347987,1102.0233600000001,57397.05,7,1,mid_low
40350938,0.48163200000000006,30.102000000000004,11,1,high
40354159,8.422464,350.936,8,1,mid_high
40359725,3.862944,160.95600000000002,8,1,mid_high
40359964,2.4750400000000004,123.75200000000001,10,1,high
40361777,4.097472,170.728,11,1,high
40362372,36.32688,1816.344,2,1,low
40362960,10.086912000000002,420.288,11,1,high
40364437,1.9188,79.95,10,1,high
40370797,8.069280000000001,504.33,5,1,mid_low
40373702,0.608416,38.025999999999996,10,1,high
40375198,33.229440000000004,1384.56,11,1,high
40375452,2.1168,132.3,7,1,mid_low
40375624,2.412864,150.804,11,1,high
40376921,26.61552,1330.776,8,1,mid_high
40377025,69.344256,2889.344,11,1,high
40379286,0.25068,10.445,3,1,low
40386399,10.824704,492.032,9,1,mid_high
40387224,18.430079999999997,767.92,8,1,mid_high
40387973,2.146176,89.424,5,1,mid_low
40393044,4.201296,190.968,11,1,high
40394338,0.54264,27.132,10,1,high
40397436,0.681552,28.398000000000003,4,1,low
40398593,25.85592,1077.33,8,1,mid_high
40400290,8.75696,547.31,7,1,mid_low
40402993,12.994368,541.432,5,1,mid_low
40403157,0.283848,11.827,5,1,mid_low
40404738,0.92184,38.410000000000004,11,1,high
40405047,22.844672000000003,1070.844,11,1,high
40410548,1.5645120000000001,65.188,6,1,mid_low
40415360,1.093248,51.246,2,1,low
40415707,2.348208,97.842,6,1,mid_low
40418143,0.785328,32.722,6,1,mid_low
40420127,17.330560000000002,812.37,11,1,high
40420583,200.49152,9398.04,10,1,high
40422108,1.201728,75.108,6,1,mid_low
40423309,12.620032000000002,788.752,3,1,low
40424391,37.977344,1780.188,10,1,high
40424724,12.76512,531.88,11,1,high
40428220,8.810304,550.644,11,1,high
40428858,0.70332,29.305,7,1,mid_low
40433789,0.8198719999999999,51.242,10,1,high
40436008,4.234176,176.424,11,1,high
40436198,56.084544,2628.963,6,1,mid_low
40438744,2.718432,113.268,11,2,high
40439561,11.336448,708.528,10,1,high
40440468,14.327552,895.472,8,1,mid_high
40441757,3.84432,192.216,11,1,high
40442144,0.9848,49.24,11,1,high
40442739,1.365552,56.898,11,1,high
40443812,4.427712,184.488,7,1,mid_low
40444688,238.2624,11913.12,11,1,high
40446606,8.775072,365.628,4,1,low
40447148,0.11772000000000002,5.886,4,1,low
40447607,16.09704,804.852,9,1,mid_high
40451343,8.968256,560.5160000000001,8,1,mid_high
40453065,0.682704,28.445999999999998,11,1,high
40455818,4.02032,201.016,11,1,high
40455831,8.65376,432.688,10,1,high
40456956,0.81664,51.040000000000006,9,1,mid_high
