sampno,hh_vmt_fee_dynamic,hh_total_vmt_dyn,hh_income_cat,hh_urbrur,hh_income_group
30118560,3.690699154778495,184.53495773892473,6,1,mid_low
30128796,1.2596177401291364,62.98088700645682,8,1,mid_high
30129439,0.21729599997599996,9.053999998999998,11,1,high
30129542,0.151031999976,6.292999999,11,1,high
30130367,12.607221922311089,573.0555419232313,9,1,mid_high
30131095,184.61565925210618,7692.319135504425,9,1,mid_high
30134588,20.811519999983997,1300.7199999989998,11,1,high
30134694,7.034066422679823,293.0861009449926,4,1,low
30135305,14.403805657442929,800.211425413496,8,1,mid_high
30135384,14.482043182916298,724.1021591458149,6,1,mid_low
30135526,42.54671999998,2127.335999999,10,1,high
30137501,32.96863004201196,1373.692918417165,8,1,mid_high
30139730,23.177759999984,1448.609999999,11,1,high
30142155,7.681984928526853,384.09924642634263,9,1,mid_high
30142992,69.892943999978,3176.951999999,11,1,high
30143447,108.495786294423,5812.27426577266,8,1,mid_high
30146681,5.3578079999820005,297.655999999,11,1,high
30146823,4.24634502540316,265.39656408769747,8,1,mid_high
30148773,1.3637079257462899,85.23174535914312,8,1,mid_high
30150798,10.199999999980001,509.999999999,10,1,high
30151163,36.17775774069507,1507.406572528961,6,1,mid_low
30151712,11.024945295145695,551.2472647572847,7,1,mid_low
30154206,2.3705444341868303,98.77268475778459,6,1,mid_low
30157808,12.476702090497184,519.8625871040493,8,1,mid_high
30158051,11.44185035986625,572.0925179933124,7,1,mid_low
30161092,3.1835148476154997,159.17574238077498,8,1,mid_high
30162777,0.531927786444785,22.16365776853271,8,1,mid_high
30163265,18.26463742794664,761.0265594977766,5,1,mid_low
30163905,0.2853097354627152,11.8879056442798,9,1,mid_high
30164169,25.783319999979998,1289.165999999,10,1,high
30165692,9.414719999976,392.27999999900004,11,1,high
30165799,0.8843519999760001,36.847999999,11,1,high
30165941,6.120719999976,255.029999999,10,1,high
30168625,14.337019029357304,597.3757928898876,7,1,mid_low
30168877,1.485359999976,61.88999999900001,10,1,high
30169685,12.900182326036552,537.5075969181896,5,1,mid_low
30170019,174.25340520402824,8712.670260201412,2,1,low
30170586,4.897565236300004,244.8782618150002,7,1,mid_low
30170648,2.3588975827477676,98.28739928115698,5,1,mid_low
30171102,11.226862114917141,467.78592145488085,9,1,mid_high
30171206,4.518326809841557,282.39542561509734,8,1,mid_high
